latency_ms_mean,latency_ms_ci95,cpu_pct_mean,cpu_pct_ci95,mem_kib_mean,mem_kib_ci95,method,channel
3.009020013269037,0.6896979687987238,131.54017834227608,257.81874955086107,2110.401171875,0.19897634854492988,Bandpass,eeg1
1264.778939995449,22.228699008419348,99.83073009775394,1.000284894440265,1573.0671875,0.0091875,NLMS,eeg1
3.5677399951964617,0.34762609853637444,89.17615587089203,174.78526550694835,2364.4267578125,0.0,Wavelet,eeg1
103.16258001839742,1.377225496373342,99.93518760803477,6.78772845964467,1641.6525390625,0.32003125000000004,WinsorizedMedian,eeg1
2.476759976707399,0.16089794345148342,135.57483891629403,265.7266842759363,2110.44296875,0.24383203046776125,Bandpass,eeg2
1259.2244600062259,22.643832231664703,100.01504561317267,0.2917780187638646,1573.0671875,0.0091875,NLMS,eeg2
3.1230199965648353,0.16091961208821437,106.42645481982943,208.59585144686565,2364.3837890625,0.0,Wavelet,eeg2
105.19647999899462,0.7361117860090866,100.99047114524271,5.617755262713309,1641.4892578125,0.0,WinsorizedMedian,eeg2
2.4776199948973954,0.41355567245958386,105.69215724655851,207.15662820325466,2110.37109375,0.16298554076673008,Bandpass,eeg3
1284.1064600041136,23.264231713310906,99.0558121550302,0.9907779542426405,1573.0671875,0.0091875,NLMS,eeg3
3.07046000380069,0.19930516262911918,106.95827940884988,209.63822764134574,2364.3923828125,0.01684375,Wavelet,eeg3
5.62946000136435,0.2735648627424537,57.05678322613555,111.83129512322569,1638.3251953125,0.0,WinsorizedMedian,eeg3
2.451479993760586,0.2233115423561183,127.67609030206533,250.24513699204803,2110.3171875,0.3122295349109419,Bandpass,eeg4
1312.826180004049,48.88573964421116,99.51459006977183,0.7808081908271549,1573.0671875,0.0091875,NLMS,eeg4
3.1421000021509826,0.14386860060421733,103.08768313864373,202.05185895174168,2364.4267578125,0.0,Wavelet,eeg4
183.18354000803083,9.919549955915864,100.67203859099034,3.5292607898364277,1641.5580078125,0.13475,WinsorizedMedian,eeg4
