latency_ms_mean,latency_ms_ci95,cpu_pct_mean,cpu_pct_ci95,mem_kib_mean,mem_kib_ci95,method,channel
5.743099993560463,0.45729694028522083,103.52225439329615,124.58805905650871,7073.72265625,0.10381914523339222,Bandpass,eeg1
3784.0405399911106,48.47058157095183,99.92702405710729,0.11897685406429027,5295.4109375,0.0091875,NLMS,eeg1
9.241160016972572,0.5970765737442785,103.73639547457378,83.61086429468338,7948.3330078125,0.0,Wavelet,eeg1
144.46087999967858,3.1730374519412194,99.54524124780997,4.475191455297518,5519.2572265625,0.6400625000000001,WinsorizedMedian,eeg1
5.730640015099198,0.33833286479433633,111.10998688734385,133.60188202724743,7073.46015625,0.22954900772654668,Bandpass,eeg2
3891.1597199970856,66.46567935735526,99.90860244742512,0.19713250452599973,5295.4109375,0.0091875,NLMS,eeg2
8.79787999438122,0.5157430741428469,108.79415744251219,87.59380450583785,7948.3330078125,0.0,Wavelet,eeg2
120.4326199949719,0.3676409559870371,101.19861154952666,5.095117966303406,5518.9650390625,0.06737499999999999,WinsorizedMedian,eeg2
5.940200015902519,0.7531499572393388,103.78967487801178,125.59196182745399,7073.55,0.1728414334955959,Bandpass,eeg3
3914.6600200328976,78.68353225402728,99.78686270531207,0.19375952078317585,5295.4109375,0.0091875,NLMS,eeg3
8.810579997953027,0.5506622707508582,76.67252926623262,92.0276069194755,7948.2986328125,0.01684375,Wavelet,eeg3
19.551240000873804,0.43694662566537257,111.93968679710463,38.528321049334586,5515.7666015625,0.0,WinsorizedMedian,eeg3
6.187599990516901,0.3509603806227176,102.7486344076616,123.84228007509928,7073.532421875,0.11714687993921215,Bandpass,eeg4
4102.10353997536,70.13054474744071,99.87701039585357,0.37610907883123706,5295.4109375,0.0091875,NLMS,eeg4
9.521739999763668,0.20634739329721896,100.01722363188954,80.04371517471748,7948.3330078125,0.0,Wavelet,eeg4
318.30418000463396,2.1600414491456283,100.15390896259308,2.7866874737418383,5518.9306640625,0.0,WinsorizedMedian,eeg4
