timestamp,elapsed_time,sequence,attention,alpha,theta,beta,bpm,rmssd,motor_state
2026-05-07 01:15:42.560,60.64345407485962,56,0.3618673086166382,248313310.52955678,445656248.39750236,790678627.9998245,94.0,291.0,0
2026-05-07 01:15:43.940,62.02336764335632,57,0.3324908912181854,295120922.66663903,619441075.0767812,194312169.18284288,141.0,286.0,1
2026-05-07 01:15:45.080,63.16341757774353,58,0.3178304135799408,184714079.49096072,454988060.150048,191205332.4604531,94.0,270.0,1
2026-05-07 01:15:46.460,64.54334998130798,59,0.30186226963996887,242940544.20204243,575439937.3371567,293426950.39559644,94.0,281.0,1
2026-05-07 01:15:47.840,65.92349290847778,60,0.27628377079963684,531495999.50664824,1319775311.7071152,403180946.4434646,47.0,301.0,1
2026-05-07 01:15:49.400,67.48356485366821,61,0.2661695182323456,494880110.9202856,941889596.5228418,350751873.95256793,141.0,406.0,1
2026-05-07 01:15:50.720,68.803475856781,62,0.2861645817756653,9506047.93656281,46025657.358135626,28807130.49775044,47.0,406.0,1
2026-05-07 01:15:52.161,70.24373126029968,63,0.2834205627441406,15083426.10540479,38062735.760120556,17640057.644764148,141.0,450.0,1
2026-05-07 01:15:53.480,71.56355118751526,64,0.27659374475479126,2808665.3727679183,7055048.440506522,2763757.9191703624,141.0,430.0,1
2026-05-07 01:15:54.860,72.94361114501953,65,0.2470165640115738,112719745.61755094,314050869.38762164,16087923.77888798,47.0,478.0,1
2026-05-07 01:15:56.300,74.38340473175049,66,0.2773803472518921,421211286.75406605,577430872.7139853,576766463.3922497,47.0,478.0,1
2026-05-07 01:15:57.680,75.7636501789093,67,0.2775404751300812,305492111.3215509,583445104.2737448,231739464.99684796,94.0,485.0,1
2026-05-07 01:15:59.060,77.14351010322571,68,0.25658220052719116,42169650.342858225,967163726.6500187,59156163.41754743,141.0,496.0,1
2026-05-07 01:16:00.500,78.58348989486694,69,0.25555551052093506,503500608.78790474,1399587322.5726206,396278034.2554401,141.0,393.0,1
2026-05-07 01:16:01.880,79.96344947814941,70,0.323120653629303,2023019.1786782718,5110930.790373907,2782915.3738526036,141.0,345.0,1
2026-05-07 01:16:03.200,81.2836434841156,71,0.3151971101760864,35440513.02809929,108642562.36170645,46827395.137359984,47.0,345.0,1
2026-05-07 01:16:04.580,82.663578748703,72,0.2984548509120941,278933065.63399774,857037845.2303692,178648757.48520535,94.0,433.0,1
2026-05-07 01:16:06.020,84.10353922843933,73,0.2538684010505676,138516018.5924464,334965439.1578279,52783720.678157695,141.0,380.0,1
2026-05-07 01:16:07.400,85.48334312438965,74,0.24444794654846191,431519.07682776503,1809255.910253822,595662.1435290109,94.0,367.0,1
2026-05-07 01:16:08.780,86.86357188224792,75,0.21594718098640442,708761.3064511829,7906786.279998246,677641.5076106758,47.0,367.0,1
2026-05-07 01:16:10.160,88.2433454990387,76,0.23726105690002441,224905.46058357827,1631172.9092278397,1045923.6904631681,94.0,393.0,1
2026-05-07 01:16:11.540,89.62359619140625,77,0.21438443660736084,764715688.4388341,1751862434.2085612,401790810.8489392,94.0,418.0,1
2026-05-07 01:16:12.860,90.94347357749939,78,0.22011226415634155,517606831.95056814,1288249551.6931322,388597497.9543928,141.0,434.0,1
2026-05-07 01:16:14.240,92.3235445022583,79,0.23273439705371857,506990708.27470446,1253141174.9414182,369828179.78026587,141.0,375.0,1
2026-05-07 01:16:15.620,93.70353174209595,80,0.23489363491535187,118032063.56517275,486967525.1658631,211592368.52409452,47.0,289.0,1
2026-05-07 01:16:17.000,95.08364772796631,81,0.24725830554962158,3647539.46925608,12331048.332289096,5655877.570891544,94.0,537.0,1
2026-05-07 01:16:18.381,96.4638991355896,82,0.2517476975917816,10641430.182243165,15812480.392703826,10399201.6582906,47.0,536.0,1
2026-05-07 01:16:19.820,97.90344071388245,83,0.2884696424007416,4064433.2916521276,7169683.755804202,5266232.148938972,47.0,544.0,1
2026-05-07 01:16:21.200,99.28351306915283,84,0.2814335525035858,23227367.96357105,82985076.75144218,27101916.318908416,47.0,544.0,1
2026-05-07 01:16:22.640,100.72352194786072,85,0.2622339129447937,412097519.0973304,956092695.019812,256448403.65177214,47.0,544.0,1
