time_s,raw_eeg1,nlms_eeg1
20.002052068710327,-16.66125500000001,-21.198336909010123
20.002052068710327,0.2206539999999961,-21.974268860094043
20.02732491493225,12.98867199999998,-39.996395773400096
20.02732491493225,18.568603,-20.81892252569536
20.027334928512573,-52.665271,-67.14437278877091
20.027334928512573,-30.54750300000001,-52.03629347419216
20.032018899917603,-14.163001000000008,-52.52409877803604
20.032018899917603,-3.635183000000012,-45.36989824110667
20.047688961029053,-70.80004600000001,-47.77785080828816
20.047688961029053,-50.552228000000014,-66.28564971297943
20.04840111732483,-25.397661000000014,-38.43302999451293
20.04840111732483,-25.334083000000007,-56.53184658876065
20.061986923217773,-71.735021,-42.54155410690431
20.061986923217773,-47.17883800000001,-43.013599894296775
20.07781291007996,2.2588989999999853,-0.2925301388836931
20.07781291007996,31.172066,13.109033233786022
20.07840609550476,-7.894929000000019,43.56601771236605
20.07840609550476,47.156398,62.51024657769193
20.09202289581299,106.026164,105.96775601173934
20.09202289581299,132.538314,106.83735466071136
20.10769009590149,89.458407,121.44013038076244
20.10769009590149,118.375313,112.93563981447318
20.10840606689453,156.140823,126.65816414028336
20.10840606689453,161.993766,112.75023921573646
20.12262797355652,89.809957,106.3940469924613
20.12262797355652,105.4203,70.6830979408521
20.123410940170288,121.95065799999998,47.10286652959053
20.13704395294189,108.337422,37.57876854371787
20.13704395294189,44.134559,13.39384536173483
20.152650117874146,40.94816399999999,-21.8138260250212
20.152650117874146,68.892697,-12.770995143821152
20.153398036956787,59.494328,-21.64438634495575
20.153398036956787,-10.217407000000009,-36.06410862306137
20.167153120040894,4.989025999999996,-50.04431853528124
20.167153120040894,22.663794,-28.935774041689207
20.199289083480835,8.972019999999986,-43.883700705204966
20.199289083480835,-58.454637000000005,-59.0988571632628
20.19981098175049,-47.41445200000001,-69.34361524131373
20.19981098175049,-26.08580200000001,-51.759395888140354
20.20053005218506,-14.686587000000015,-46.76071216467167
20.20053005218506,-72.96544800000001,-43.68324649052484
20.201219081878666,-50.574667000000005,-60.82535949848402
20.201219081878666,-23.725926000000012,-35.6320481352132
20.21202802658081,-23.12380200000001,-52.91553059284057
20.21202802658081,-83.45586800000001,-54.45700352448979
20.22703099250793,-90.06053100000001,-91.64442751263968
20.22703099250793,-70.04458600000001,-111.87217262908676
20.242713928222656,-68.16341700000001,-86.5937887748053
20.242713928222656,-104.171174,-70.63129942980788
20.243403911590576,-55.64223200000001,-64.77883372012262
20.243403911590576,-1.0172530000000108,-20.342180022625413
20.25708293914795,16.721092,-4.211185691315748
20.25708293914795,-42.85925400000001,-20.0849892359154
20.2725670337677,-23.767064000000005,-30.895677483234486
20.2725670337677,-7.199308000000002,-34.438544880259485
20.28776788711548,-9.839677000000025,-28.858302853003853
20.28776788711548,-82.83504400000001,-50.96880966486052
20.288454055786133,-68.95253600000001,-67.90452749500017
20.288454055786133,-49.28066200000001,-59.10051419669811
20.30271291732788,-50.26799600000001,-69.39424927821001
20.30271291732788,-113.65556,-71.55103227863717
20.30344295501709,-88.79270500000001,-62.524331145681714
20.30344295501709,-52.085587,-50.71538316704609
20.31714701652527,-44.39261300000001,-45.379000010057815
20.31714701652527,-101.441047,-51.7284047855674
20.33284711837769,-84.05425200000002,-37.81851094351223
20.33284711837769,-61.050127,-45.99982411364172
20.333413124084476,-58.768788000000015,-50.73560076187077
20.333413124084476,-120.349981,-54.80386632803904
20.3470470905304,-105.330543,-70.65385969976833
20.3470470905304,-77.57300500000001,-59.78778816282817
20.36283802986145,-91.25729900000002,-91.67690918829211
20.36283802986145,-144.206803,-72.10979643167589
20.36342191696167,-135.85934600000002,-86.99909825555484
20.36342191696167,-112.776683,-101.97916192939222
20.37704110145569,-119.856314,-114.23537345119848
20.37704110145569,-170.868549,-88.01068434937316
20.39281702041626,-151.15179700000002,-111.69914301690096
20.39281702041626,-121.673905,-102.27141088041196
20.393423080444336,-129.800708,-131.1433590033554
20.393423080444336,-178.32217,-115.0673317769674
20.407084941864014,-169.006079,-140.87314842913878
20.407084941864014,-143.155891,-151.312207354869
20.422729969024655,-142.022701,-165.6223406061917
20.422729969024655,-199.777976,-151.29487748426848
20.42340493202209,-189.182839,-166.49336668754538
20.42340493202209,-172.256052,-193.82267115882613
20.437117099761963,-157.17677600000002,-206.3131684959156
20.437117099761963,-203.076568,-160.82317692086534
20.45256400108337,-170.617976,-149.92417420571098
20.45256400108337,-123.211004,-138.2245792822017
20.467829942703247,-99.645895,-106.06502681157608
20.467829942703247,-132.609373,-82.83528038773176
20.46853399276733,-97.910581,-48.55588983500421
20.46853399276733,-60.95289000000001,-68.33261984717274
20.48281693458557,-55.96760300000001,-67.43426601591902
20.48281693458557,-92.143655,-58.53448861702332
20.483516931533813,-59.92815700000001,-34.8153013993288
20.483516931533813,-28.954306000000017,-47.15534564360194
20.4971981048584,-12.850296000000014,-54.26005750853459
20.4971981048584,-60.908011000000016,-48.964225355389246
