55.000000	12.880215	0.000000	-10.045371	-6.556045	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.621866	0.000000
55.000000	-203.876906	0.000000	-128.501093	-16.803371	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.621866	0.000000
0.000000	243.704971	0.000000	-390.050996	12.990542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.645581	0.000000
1.000000	237.967964	0.000000	-329.502016	16.693043	0.000000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.659014	0.000000
1.000000	238.031543	0.000000	-219.287164	14.045194	0.000000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.659014	0.000000
2.000000	256.289734	0.000000	-268.410750	18.858446	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.690993	0.000000
2.000000	258.406517	0.000000	-345.033820	15.761808	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.690993	0.000000
3.000000	251.046394	0.000000	-305.353482	16.289134	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.691485	0.000000
3.000000	238.558868	0.000000	-275.056552	16.457430	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.691485	0.000000
4.000000	230.054336	0.000000	-253.690504	14.284548	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.692337	0.000000
4.000000	224.287410	0.000000	-289.245733	9.538615	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.692337	0.000000
5.000000	223.229019	0.000000	-314.071188	12.523055	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.693132	0.000000
5.000000	220.001485	0.000000	-324.509249	17.224109	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.693132	0.000000
6.000000	209.627002	0.000000	-284.888749	10.993436	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.703754	0.000000
6.000000	202.981200	0.000000	-288.321977	15.784248	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.703754	0.000000
7.000000	184.218122	0.000000	-328.350126	11.969550	0.128000	0.336000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1770815790.718721	0.000000
