time_s,raw_eeg1,wavelet_eeg1
10.004159927368164,151.3799305,124.5536069152528
10.004159927368164,111.83796850000002,123.54888911487228
10.004749059677124,115.0131435,122.3651169927062
10.004749059677124,128.02799550000003,120.980629665067
10.018476963043211,127.89709850000004,119.37656883443373
10.018476963043211,129.50525550000003,117.52707496934012
10.034103870391846,108.2214855,115.4325837029075
10.034103870391846,116.6923585,113.1086057509113
10.03474497795105,109.1901195,110.53558018934837
10.03474497795105,96.7175525,107.69826343920155
10.049015998840332,114.33622150000002,104.625847866841
10.049015998840332,101.9534125,101.34169853092716
10.049756050109863,102.06373950000004,97.89077627827643
10.063623905181885,81.33347450000002,94.33392860831596
10.063623905181885,82.83317450000001,90.6302071488388
10.095363855361938,85.17809150000002,86.72428850982118
10.095363855361938,82.09641350000001,82.65182104471437
10.096148014068604,64.9452325,78.41317279472918
10.096148014068604,69.13392050000002,74.04587325578869
10.096880912780762,70.83183550000001,69.68103507031692
10.096880912780762,66.4898115,65.18801048751413
10.097611904144289,47.89876850000002,60.22408290356235
10.097611904144289,27.6808695,54.92520771605752
10.108304023742676,54.581969500000014,50.40664969531449
10.108304023742676,53.33284350000002,46.92049112167738
10.123445987701416,18.540554500000013,40.71896998856575
10.123445987701416,55.2102735,40.54970534780036
10.139098882675173,61.87851450000002,37.33232327378249
10.139098882675173,45.76702550000002,34.11563587487422
10.139904022216797,36.619230500000015,29.76175792188932
10.139904022216797,29.793912500000005,24.720076087242003
10.153509855270386,16.835159500000003,19.34180439091088
10.153509855270386,6.415798500000022,14.27920840965644
10.185353994369509,-9.41145849999998,10.289917584964382
10.185353994369509,-6.950604499999997,7.096782811232892
10.18615698814392,18.49193550000001,4.203316450016492
10.18615698814392,23.40616350000002,1.3034829442661358
10.186774969100952,-21.225802499999983,-1.9580984732645292
10.186774969100952,-1.512789499999997,-5.500985899824193
10.187657833099363,-0.9218854999999736,-9.101031371564927
10.187657833099363,-7.548988499999979,-12.6948774441378
10.198447942733765,-25.493028499999998,-16.202750064733397
10.198447942733765,-31.92565549999999,-19.63956661856065
10.213404893875122,-30.90840349999999,-23.06416121133876
10.213404893875122,-53.80781049999999,-26.475606587315827
10.229143857955933,-49.81359749999999,-29.867517065816685
10.229143857955933,-48.34381649999999,-33.218006013410346
10.229723930358888,-56.91940749999999,-36.49891338232931
10.229723930358888,-51.75460549999998,-39.67524866145251
10.243347883224487,-50.595236499999984,-42.71320170647978
10.243347883224487,-68.49813749999998,-45.62051877437077
10.259119987487791,-53.21316649999999,-48.40910849226599
10.259119987487791,-53.71431349999999,-51.09161789703445
10.259788036346436,-47.8538895,-53.68924996650187
10.259788036346436,-48.51959249999999,-56.17042225152554
10.273429870605469,-46.78053849999999,-58.48509542948774
10.273429870605469,-60.36759549999999,-60.63803712482913
10.289024829864502,-56.04801049999999,-62.6318992965667
10.289024829864502,-63.64374749999999,-64.4389974431186
10.289794921875,-70.58874149999998,-66.06704745504781
10.289794921875,-72.98601749999999,-67.47622877094783
10.30501389503479,-68.23634449999999,-68.59848183919661
10.30501389503479,-71.8827475,-69.58132905078654
10.319053888320925,-66.81892249999999,-70.59868846876402
10.319053888320925,-73.99953049999999,-71.61276222743511
10.319743871688845,-71.92388649999998,-72.67629611618916
10.319743871688845,-76.99519049999998,-73.73506941460525
10.33341383934021,-83.91400549999999,-74.58082348040575
10.33341383934021,-84.98735649999999,-75.72193541812766
10.349374055862429,-82.93415149999998,-77.5308803799106
10.349374055862429,-85.87371249999998,-79.56823576933887
10.349783897399902,-100.0853325,-81.53640436865528
10.349783897399902,-93.4058715,-82.10996419562105
10.363340854644775,-83.84668749999999,-80.06020180504515
10.363340854644775,-80.9632245,-76.4074801011318
10.37901782989502,-56.68753349999999,-72.33415421827952
10.37901782989502,-46.36914949999999,-69.7533710581057
10.379652976989746,-44.51415949999999,-70.60567591376696
10.379652976989746,-66.46363249999999,-73.81687007909728
10.40978193283081,-67.71649849999999,-77.78411598344975
10.40978193283081,-70.32320849999999,-80.86254134026731
10.410402059555054,-73.79383549999999,-81.2767891478839
10.410402059555054,-79.17555249999998,-79.68173031364181
10.411125898361206,-67.47340549999998,-77.3281567201303
10.411125898361206,-75.52914949999999,-75.04380139822817
10.423329830169678,-74.0144905,-73.77410653087327
10.423329830169678,-76.05647549999999,-73.26310312864597
10.43901300430298,-73.23285049999998,-72.88147153617017
10.43901300430298,-78.6968445,-72.40499442289385
10.439743995666504,-60.76028449999998,-71.56837448720154
10.439743995666504,-75.68248549999998,-70.4593159467166
10.453374862670898,-70.66353949999998,-69.30735667961551
10.453374862670898,-71.47509849999999,-68.16722921633509
10.469094038009644,-61.30257049999999,-67.09466807934609
10.469094038009644,-68.78984949999999,-66.05928260612278
10.46988606452942,-67.30136949999999,-64.99135871590481
10.46988606452942,-57.29713749999999,-63.86506905380159
10.483320951461792,-48.15308149999999,-62.65523815255248
10.483320951461792,-72.08096149999999,-61.38803401789341
10.49904203414917,-67.6529205,-60.1119157393
10.49904203414917,-57.43925349999999,-58.846960204856046
10.499721050262451,-53.617075499999984,-57.61790874679748
10.499721050262451,-64.01399749999999,-56.44713021914878
10.525219917297363,-66.94607949999998,-55.34541611737249
10.525219917297363,-57.11014249999998,-54.34892315816659
10.529031038284302,-60.55085049999998,-53.49032318469154
10.529031038284302,-78.95489749999999,-52.75585824556796
10.52976894378662,-58.43780649999999,-52.12471596641876
10.52976894378662,-36.77256649999998,-51.56586903031429
10.543365955352783,-35.65807649999999,-51.04171277865787
10.543365955352783,-56.61273549999999,-50.55779740400789
10.5590238571167,-54.51465149999999,-50.12678261594627
10.5590238571167,-48.04836449999999,-49.74463363778523
10.559712886810305,-49.04691749999999,-49.41071524255103
10.559712886810305,-61.45216649999999,-49.1007969560422
10.573354959487917,-59.19326649999999,-48.77682940706232
