time_s,raw_eeg1,bandpass_eeg1,nlms_eeg1,wavelet_eeg1,winsor_eeg1,raw_eeg2,bandpass_eeg2,nlms_eeg2,wavelet_eeg2,winsor_eeg2,raw_eeg3,bandpass_eeg3,nlms_eeg3,wavelet_eeg3,winsor_eeg3
75.0154960155487,2.636629499999998,0.935068073236561,0.935068073236561,-1.5433551023841134,0.935068073236561,0.0,0.0,0.0,,0.0,-61.02955749999995,-49.05699157421398,-49.05699157421398,-23.073381772232114,-49.05699157421398
75.0154960155487,0.9349755000000073,-5.837084523657071,-5.837084523657071,-2.8502602897092792,-5.837084523657071,0.0,0.0,0.0,,0.0,13.031681500000047,26.485381934345916,26.485381934345916,24.516989749866006,26.485381934345916
75.0162718296051,-14.054543499999994,-6.374197957376017,-6.374197957376017,-3.419245566215384,-6.374197957376017,0.0,0.0,0.0,,0.0,55.47580650000003,44.91450751522267,44.91450751522267,42.29517746600189,44.91450751522267
75.0162718296051,2.0083265000000097,-3.039334677106404,-3.2458166425983364,-2.7424154778523957,-3.039334677106404,0.0,0.0,0.0,,0.0,-28.24559449999998,24.421039382971717,41.24352435691314,42.49877491541911,24.421039382971717
75.02983093261719,-1.6380755000000136,-1.815250743144781,-2.1722821915054866,-1.5376532633675586,-1.815250743144781,0.0,0.0,0.0,,0.0,-17.070773499999973,21.551327600319212,37.673568234953606,29.680993993685263,21.551327600319212
75.02983093261719,2.131743499999999,-4.7066076275266235,-4.969426570501227,-2.9401459687458553,-4.7066076275266235,0.0,0.0,0.0,,0.0,15.268141500000013,55.69222277204359,62.088369015829535,47.20116473313217,55.69222277204359
75.04563689231873,-15.251311500000014,-7.510033758628045,-7.653452068485784,-4.849298153236398,-7.510033758628045,0.0,0.0,0.0,,0.0,66.54217050000005,87.73234537709818,89.22864320683519,73.15207158597192,87.73234537709818
75.04563689231873,-6.443847500000004,-6.314251625432121,-6.432954397613762,-3.8292676172658546,-6.314251625432121,0.0,0.0,0.0,,0.0,70.31198950000004,81.04984060574624,86.04520209761952,70.85701176936733,81.04984060574624
75.04630088806152,2.5992305000000044,-3.53230017192682,-3.408281399173397,-1.917632118590288,-3.53230017192682,0.0,0.0,0.0,,0.0,-73.00845649999997,55.66137050128119,61.82570357485501,56.332616192544194,55.66137050128119
75.04630088806152,0.5647255000000087,-3.6854714398149344,-3.136922123734198,-2.5516328211357333,-3.6854714398149344,0.0,0.0,0.0,,0.0,12.36971950000003,51.9808250958526,50.14138319496618,56.872137717062174,51.9808250958526
75.06004095077515,-15.266271500000016,-5.818191292167065,-4.934317139097236,-4.057763168701341,-5.818191292167065,0.0,0.0,0.0,,0.0,56.874528500000054,64.91625838559659,53.461347201792805,60.88268714864568,64.91625838559659
75.06004095077515,-2.5655715000000043,-5.7415346179859705,-4.757049569488118,-4.234371343793283,-5.7415346179859705,0.0,0.0,0.0,,0.0,-37.131596499999944,58.838115799324505,45.69689590471736,48.471427075232455,58.838115799324505
75.07574701309204,-3.7511195000000157,-4.114473763568914,-3.1356549345169156,-5.033024997087074,-4.114473763568914,0.0,0.0,0.0,,0.0,-43.99805249999997,34.11685390747359,23.855270548305786,37.50233928670016,34.11685390747359
75.07574701309204,4.024132500000007,-6.077944596557634,-5.00276735397569,-7.172107693459251,-6.077944596557634,0.0,0.0,0.0,,0.0,-63.62878749999999,30.11879400236861,18.265026567027714,43.742903161796875,30.11879400236861
75.07649087905884,-26.927279499999997,-13.53925313981231,-12.197787049716341,-11.413049141563882,-13.53925313981231,0.0,0.0,0.0,,0.0,36.507033500000034,60.99614309586209,44.44060222147275,52.76769630980449,60.99614309586209
75.07649087905884,-22.387040499999998,-22.904170579867575,-21.09712890943491,-19.950577036293765,-22.904170579867575,0.0,0.0,0.0,,0.0,-11.965809499999978,84.65911304119226,68.6455219729413,62.04243516594919,84.65911304119226
75.08996605873108,-20.158060500000005,-28.798663454183654,-26.081887955532917,-25.67217109550732,-28.798663454183654,0.0,0.0,0.0,,0.0,-106.50674049999998,45.661486894502325,34.82193250610287,41.436466967467965,45.661486894502325
75.08996605873108,-22.274843500000003,-25.86343901100368,-21.600176320436915,-20.841143312829978,-25.86343901100368,0.0,0.0,0.0,,0.0,-71.69949149999997,-64.30581571864077,-74.86432296234022,-58.69896752449382,-64.30581571864077
75.1056559085846,-28.030549500000006,-11.342389334335598,-5.821243838225982,-8.92211785605712,-11.342389334335598,0.0,0.0,0.0,,0.0,-313.5307725,-192.79250842098128,-211.98053117413065,-181.77145104933038,-192.79250842098128
75.1056559085846,15.576683500000001,8.757900840956836,13.502341015848703,6.66146796345028,8.757900840956836,0.0,0.0,0.0,,0.0,-380.84523149999995,-274.98644472447853,-310.9172413137396,-242.07067721175872,-205.61623558834194
75.10624694824219,29.204879500000004,21.59260980617105,22.62604046448822,18.884154488556213,21.59260980617105,0.0,0.0,0.0,,0.0,-418.3414685,-298.4796347106149,-357.1454216085686,-266.97838804903995,-205.61623558834194
75.10624694824219,19.196906499999983,21.024354291296152,16.467757953183956,17.634538892221734,21.024354291296152,0.0,0.0,0.0,,0.0,-409.6275025,-309.1234869340363,-383.11522717023297,-304.499323965643,-205.61623558834194
75.11989092826843,3.5042865000000063,13.735127057114527,4.234050935041742,9.48885239302934,13.735127057114527,0.0,0.0,0.0,,0.0,-400.31141149999996,-345.19132066138775,-405.7607367365,-341.059894500525,-205.61623558834194
75.11989092826843,11.833043500000002,8.12469380639958,-4.682580809536319,6.137233827798107,8.12469380639958,0.0,0.0,0.0,,0.0,-533.1601375,-386.32496733488296,-405.7762758274626,-361.271721528457,-205.61623558834194
75.13554406166077,8.4933135,4.261493898517559,-11.157098039225717,4.758169062389566,4.261493898517559,0.0,0.0,0.0,,0.0,-549.5895174999999,-390.9018068788396,-369.9155909353467,-370.3240432021319,-205.61623558834194
75.13554406166077,2.2663794999999993,-0.9644170720157318,-19.084376984648145,-0.1409594508057278,-0.9644170720157318,0.0,0.0,0.0,,0.0,-462.3339125,-365.9590656529659,-326.05765675769277,-368.7545045273906,-205.61623558834194
75.13635897636414,-19.5895955,-5.843142481098928,-26.261054533852587,-5.112458713402402,-5.843142481098928,0.0,0.0,0.0,,0.0,-413.3262635,-358.377005662749,-315.35130340321365,-362.92227293011206,-205.61623558834194
75.13635897636414,-0.1869944999999973,-6.65917248772564,-28.295899588396704,-5.909435484137307,-6.65917248772564,0.0,0.0,0.0,,0.0,-554.9188755,-379.6432379224853,-335.92366801847663,-367.8048940194845,-205.61623558834194
